candidate_id,rollout_phase,destination,source_site,source_page_url,source_track_url,route_name,distance_km,elevation_gain_m,discipline,source_evidence,scenic_case,workout_hypothesis,acquisition_target,rider_status,rights_status,ingestion_status,next_action
IRL-WEB-001,1,Ireland,Cycling Ireland,https://www.cyclingireland.ie/key-documents/find-a-route/,,Dublin Coast,38,,road,public_route_index,coastal Dublin discovery,recovery_or_endurance_unassessed,Cycling Ireland local expert or route maintainer,unconfirmed,not_requested,discovery_only,"Ask Cycling Ireland to nominate the named rider or maintainer who last rode this exact version"
IRL-WEB-002,1,Ireland,Cycling Ireland,https://www.cyclingireland.ie/key-documents/find-a-route/,,Coolquay Spin,27,,road,public_route_index,north Dublin rural lanes,recovery_or_endurance_unassessed,Cycling Ireland local expert or route maintainer,unconfirmed,not_requested,discovery_only,"Ask Cycling Ireland to nominate the named rider or maintainer who last rode this exact version"
IRL-WEB-003,1,Ireland,Cycling Ireland,https://www.cyclingireland.ie/key-documents/find-a-route/,,Great Dublin Bike Ride 60km,60,,road,public_route_index,Dublin event loop,endurance_unassessed,Event route captain or local ride leader,unconfirmed,not_requested,event_lead_only,"Use the event only to find a named rider; verify the route again on open roads"
IRL-WEB-004,1,Ireland,Cycling Ireland,https://www.cyclingireland.ie/key-documents/find-a-route/,,Great Dublin Bike Ride 100km,100,,road,public_route_index,long Dublin event loop,endurance_unassessed,Event route captain or local ride leader,unconfirmed,not_requested,event_lead_only,"Use the event only to find a named rider; verify the route again on open roads"
IRL-WEB-005,1,Ireland,Cycling Ireland,https://www.cyclingireland.ie/key-documents/find-a-route/,,Malahide to Clontarf,30,,road,public_route_index,Dublin coast and city access,recovery_unassessed,Cycling Ireland local expert or route maintainer,unconfirmed,not_requested,discovery_only,"Find a named rider with a current looped version rather than assuming the indexed point-to-point is inventory"
IRL-WEB-006,1,Ireland,Cycling Ireland,https://www.cyclingireland.ie/key-documents/find-a-route/,,Megalithic Spin,55,,road,public_route_index,north Dublin heritage roads,endurance_or_tempo_unassessed,Cycling Ireland local expert or north Dublin club rider,unconfirmed,not_requested,discovery_only,"Ask for a current completed recording from the rider who knows this route"
IRL-WEB-007,1,Ireland,Cycling Ireland,https://www.cyclingireland.ie/key-documents/find-a-route/,,Swords to Oldtown,40,,road,public_route_index,north Dublin village roads,tempo_unassessed,Cycling Ireland local expert or north Dublin club rider,unconfirmed,not_requested,discovery_only,"Find a rider with a closed version and assess interruptions before any workout tag"
IRL-WEB-008,1,Ireland,Cycling Ireland,https://www.cyclingireland.ie/key-documents/find-a-route/,,Blessington Lake Loop,26,,road,public_route_index,Wicklow lake scenery,recovery_or_tempo_unassessed,Cycling Ireland local expert or Blessington rider,unconfirmed,not_requested,discovery_only,"Ask for a current timestamped recording and local open-road review"
IRL-WEB-009,1,Ireland,Cycling Ireland,https://www.cyclingireland.ie/key-documents/find-a-route/,,Baltyboys Loop,20,,road,public_route_index,Wicklow foothills,recovery_unassessed,Cycling Ireland local expert or Blessington rider,unconfirmed,not_requested,discovery_only,"Confirm surface and road discipline then recruit the named rider"
IRL-WEB-010,1,Ireland,Cycling Ireland,https://www.cyclingireland.ie/key-documents/find-a-route/,,Killarney Gap of Dunloe Black Valley Loop,56,,road,public_route_index,signature Kerry mountain scenery,endurance_unassessed,Kerry local expert or guide,unconfirmed,not_requested,discovery_only,"Hold for Ireland-wide expansion after Dublin and Wicklow intake works"
