target_id,area,start_anchor,distance_band,target_distance_km,terrain,session_priority,contributor_status,ride_file_status,curator_status,published_route_id
DUB-N-01,Dublin coast and north,Dublin city centre,short,40,flat-rolling,endurance,unassigned,missing,not_started,
DUB-N-02,Dublin coast and north,Dublin city centre,short,45,rolling,tempo,unassigned,missing,not_started,
DUB-N-03,Dublin coast and north,Dublin city centre,medium,65,rolling,sweet_spot,unassigned,missing,not_started,
DUB-N-04,Dublin coast and north,Dublin city centre,medium,75,rolling,endurance,unassigned,missing,not_started,
DUB-N-05,Dublin coast and north,Dublin city centre,long,95,rolling,tempo,unassigned,missing,not_started,
DUB-N-06,Dublin coast and north,Dublin city centre,long,110,hilly,endurance,unassigned,missing,not_started,
DUB-S-01,South Dublin foothills,Dún Laoghaire,short,40,rolling,tempo,unassigned,missing,not_started,
DUB-S-02,South Dublin foothills,Tallaght,short,45,rolling,sweet_spot,unassigned,missing,not_started,
DUB-S-03,South Dublin foothills,Dún Laoghaire,medium,60,rolling,threshold,unassigned,missing,not_started,
DUB-S-04,South Dublin foothills,Tallaght,medium,70,hilly,tempo,unassigned,missing,not_started,
DUB-S-05,South Dublin foothills,Dún Laoghaire,medium,80,hilly,endurance,unassigned,missing,not_started,
DUB-S-06,South Dublin foothills,Tallaght,long,95,hilly,sweet_spot,unassigned,missing,not_started,
DUB-S-07,South Dublin foothills,Dún Laoghaire,long,110,hilly,endurance,unassigned,missing,not_started,
WCK-N-01,North Wicklow,Bray,short,35,rolling,tempo,unassigned,missing,not_started,
WCK-N-02,North Wicklow,Enniskerry,short,45,hilly,threshold,unassigned,missing,not_started,
WCK-N-03,North Wicklow,Bray,medium,60,rolling,sweet_spot,unassigned,missing,not_started,
WCK-N-04,North Wicklow,Enniskerry,medium,70,hilly,tempo,unassigned,missing,not_started,
WCK-N-05,North Wicklow,Bray,medium,80,hilly,endurance,unassigned,missing,not_started,
WCK-N-06,North Wicklow,Enniskerry,long,100,mountainous,threshold,unassigned,missing,not_started,
WCK-N-07,North Wicklow,Bray,long,120,mountainous,endurance,unassigned,missing,not_started,
WCK-C-01,Central Wicklow,Roundwood,short,35,rolling,endurance,unassigned,missing,not_started,
WCK-C-02,Central Wicklow,Laragh,short,45,hilly,sweet_spot,unassigned,missing,not_started,
WCK-C-03,Central Wicklow,Roundwood,medium,60,hilly,tempo,unassigned,missing,not_started,
WCK-C-04,Central Wicklow,Laragh,medium,70,mountainous,threshold,unassigned,missing,not_started,
WCK-C-05,Central Wicklow,Roundwood,medium,80,hilly,endurance,unassigned,missing,not_started,
WCK-C-06,Central Wicklow,Laragh,long,100,mountainous,sweet_spot,unassigned,missing,not_started,
WCK-C-07,Central Wicklow,Roundwood,long,120,mountainous,endurance,unassigned,missing,not_started,
WCK-W-01,West Wicklow,Blessington,short,40,rolling,tempo,unassigned,missing,not_started,
WCK-W-02,West Wicklow,Blessington,short,50,hilly,sweet_spot,unassigned,missing,not_started,
WCK-W-03,West Wicklow,Blessington,medium,65,rolling,endurance,unassigned,missing,not_started,
WCK-W-04,West Wicklow,Blessington,medium,80,hilly,threshold,unassigned,missing,not_started,
WCK-W-05,West Wicklow,Blessington,long,105,hilly,endurance,unassigned,missing,not_started,
WCK-E-01,East Wicklow coast,Bray,short,40,rolling,tempo,unassigned,missing,not_started,
WCK-E-02,East Wicklow coast,Bray,medium,70,rolling,sweet_spot,unassigned,missing,not_started,
WCK-E-03,East Wicklow coast,Bray,long,100,hilly,endurance,unassigned,missing,not_started,
