target_id,priority,organisation,target_type,coverage_hypothesis,public_contact_url,status,last_contacted_at,next_action_at,owner,nominee_count,qualified_contributors,valid_submissions,approved_routes,notes
IRL-CON-001,P0,Roadman Cycling Club,founder_network,"DUB-S; WCK-N; workout evidence",https://roadmancycling.com/coaching/dublin,not_contacted,,,,0,0,0,0,"Founder-led rehearsal only; members apply personally; separate curator required"
IRL-CON-002,P1,Orwell Wheelers,club,"DUB-S; WCK-N; WCK-C",https://www.orwellwheelers.com/post/orwell-qr,not_contacted,,,,0,0,0,0,"Ask secretary/leisure committee for named riders; never request private RWGPS library"
IRL-CON-003,P1,Bray Wheelers,club,"WCK-N; WCK-C; WCK-E",https://braywheelers.ie/contact-us/,not_contacted,,,,0,0,0,0,"Use general club channel; do not contact published personal numbers from this tracker"
IRL-CON-004,P1,Clontarf Cycling Club,club,"DUB-N; coast; flat-rolling",https://clontarfcyclingclub.com/spins-and-training/,not_contacted,,,,0,0,0,0,"Ask for road-captain introductions across two pace groups"
IRL-CON-005,P1,CSS Tallaght Wheelers,club,"DUB-S Tallaght; WCK-W",https://tallaghtwheelers.com/,not_contacted,,,,0,0,0,0,"Tallaght/Blessington coverage; coordinate through club or Cycle SuperStore"
IRL-CON-006,P1,Bike Fitting Ireland,coach,"WCK-N/C; workout evidence",https://bikefittingireland.com/contact-location/,not_contacted,,,,0,0,0,0,"Route contribution and rubric feedback are separate asks; no honorary approvals"
IRL-CON-007,P1,The Cycle Hub / Irish Cycling Safaris,guide_operator,"DUB-S; WCK-N/E; visitor comprehension",https://the-cyclehub.com/contact/,not_contacted,,,,0,0,0,0,"One relationship; ask for a named guide; do not request tour files"
IRL-CON-008,P2,St. Tiernan's Cycling Club,club,"DUB-S; WCK-N; workout evidence",https://www.sttiernanscc.com/contact-us,not_contacted,,,,0,0,0,0,"Ask for leisure leader and structured-session rider"
IRL-CON-009,P2,Sandymount Dodder Wheelers,club,"DUB-S; east coast",https://www.sandymountdodderwheelers.ie/,not_contacted,,,,0,0,0,0,"Ask committee for person who plans and rides weekly spins"
IRL-CON-010,P2,Dublin Wheelers,club,"DUB-N; medium-long",https://www.dublinwheelers.com/what-we-do,not_contacted,,,,0,0,0,0,"Second independent north-Dublin source"
IRL-CON-011,P2,Lucan Cycling Road Club,club,"west Dublin; discovery gap",https://lucancrc.ie/contact-us/,not_contacted,,,,0,0,0,0,"Accept only routes that honestly fit a launch cell; do not distort anchors"
IRL-CON-012,P2,Pedal Graft Coaching,coach,"Dublin/Wicklow workout evidence",https://www.pedalgraftcoaching.com/,not_contacted,,,,0,0,0,0,"Prioritise exact-segment assessment for threshold and short hard efforts"
IRL-CON-013,P2,Endurance Lab,coach,"DUB-S/coast; workout evidence",https://endurancelab.org/lab/,not_contacted,,,,0,0,0,0,"Rubric review must cover road interruption and recovery as well as physiology"
IRL-CON-014,P2,The Sports Room,shop_partner,"WCK-E; WCK-C",https://thesportsroom.ie/pages/about-the-sports-room-wicklow-town,not_contacted,,,,0,0,0,0,"Ask for voluntary introduction; no customer data or shop-supplied recordings"
IRL-CON-015,P2,Cycle SuperStore,shop_partner,"DUB-S Tallaght; WCK-W",https://www.cyclesuperstore.ie/page/1,not_contacted,,,,0,0,0,0,"Treat shop and CSS Tallaght as one relationship for concentration analysis"
IRL-CON-016,P2,Wicklow 200 / IVCA organiser network,event_operator,"WCK-C; WCK-W; WCK-E; long",https://wicklow200.ie/,not_contacted,,,,0,0,0,0,"Ask for named rider introductions; event route is not inventory and marshalling is not everyday safety evidence"
IRL-CON-017,P1,Cycling Ireland route and local-expert team,national_governing_body,"DUB-N; DUB-S; WCK-W; national expansion",https://www.cyclingireland.ie/key-documents/find-a-route/,not_contacted,,,,0,0,0,0,"Ask for introductions to the named people who last rode or maintain selected public routes; the route index itself is not permission"
IRL-CON-018,P2,Sport Ireland Outdoors trail managers,public_route_network,"national scenic road loops",https://www.sportireland.ie/outdoors/cycling-on-road/trails,not_contacted,,,,0,0,0,0,"Use the trail network to find route managers and named local riders; do not copy official geometry into LOOPS"
